geo,country,year,education,fertility,population
ago,Angola,1970,0.5,7.43,5852788.0
alb,Albania,1970,3.9,5.16,2181220.0
are,UAE,1970,1.5,6.52,286536.0
arg,Argentina,1970,5.5,3.09,23878327.0
arm,Armenia,1970,5.9,3.33,2475633.0
atg,Antigua and Barbuda,1970,7.0,3.63,64528.0
aus,Australia,1970,8.4,2.86,12599411.0
aut,Austria,1970,7.2,2.29,7466319.0
aze,Azerbaijan,1970,4.5,4.9,5183825.0
bdi,Burundi,1970,0.3,7.21,3530432.0
bel,Belgium,1970,6.6,2.25,9630504.0
ben,Benin,1970,0.2,6.74,3065057.0
bfa,Burkina Faso,1970,0.1,6.69,5610304.0
bgd,Bangladesh,1970,0.6,6.84,69058894.0
bgr,Bulgaria,1970,6.3,2.18,8490825.0
bhr,Bahrain,1970,1.2,6.43,224809.0
bhs,Bahamas,1970,6.1,4.21,184982.0
bih,Bosnia and Herzegovina,1970,2.2,2.79,3773247.0
blr,Belarus,1970,6.3,2.29,9014897.0
blz,Belize,1970,3.8,6.3,120736.0
bol,Bolivia,1970,1.7,6.0,4590010.0
bra,Brazil,1970,2.1,4.93,95375651.0
bwa,Botswana,1970,1.1,6.55,590334.0
caf,Central African Republic,1970,0.2,6.03,2097505.0
can,Canada,1970,8.7,2.27,21440022.0
che,Switzerland,1970,7.4,2.1,6180922.0
chl,Chile,1970,5.3,3.78,9845344.0
chn,China,1970,1.2,6.09,823308967.0
civ,Cote d'Ivoire,1970,0.2,7.94,5411567.0
cmr,Cameroon,1970,0.6,6.2,6449793.0
cod,"Congo, Dem. Rep.",1970,0.6,6.33,20137436.0
cog,"Congo, Rep.",1970,0.7,6.38,1397638.0
col,Colombia,1970,3.2,5.28,20811782.0
com,Comoros,1970,0.2,7.1,244185.0
cpv,Cape Verde,1970,0.5,6.94,287885.0
cri,Costa Rica,1970,4.0,4.59,1838949.0
cub,Cuba,1970,5.3,3.98,8824382.0
cyp,Cyprus,1970,4.5,3.07,647446.0
cze,Czech Republic,1970,8.8,1.92,9801252.0
deu,Germany,1970,6.2,2.02,78205102.0
dji,Djibouti,1970,0.2,6.88,145175.0
dnk,Denmark,1970,7.9,1.96,4928668.0
dom,Dominican Republic,1970,2.3,6.18,4399290.0
dza,Algeria,1970,0.6,7.7,13783719.0
ecu,Ecuador,1970,3.1,6.14,6155387.0
egy,Egypt,1970,0.9,6.06,34623990.0
eri,Eritrea,1970,0.2,6.54,1243453.0
esp,Spain,1970,2.3,2.88,33812723.0
est,Estonia,1970,6.5,2.17,1361866.0
eth,Ethiopia,1970,0.1,6.78,27829128.0
fin,Finland,1970,6.3,1.82,4606305.0
fji,Fiji,1970,3.7,4.71,531188.0
fra,France,1970,5.7,2.48,50813075.0
gab,Gabon,1970,1.2,5.1,595846.0
gbr,UK,1970,8.3,2.42,55663801.0
geo,Georgia,1970,7.4,2.7,4804055.0
gha,Ghana,1970,1.2,6.95,8925813.0
gin,Guinea,1970,0.1,6.24,4277535.0
gmb,Gambia,1970,0.3,6.26,524105.0
gnb,Guinea-Bissau,1970,0.1,6.04,584403.0
gnq,Equatorial Guinea,1970,0.9,5.81,320803.0
grc,Greece,1970,4.4,2.44,8747776.0
gtm,Guatemala,1970,1.0,6.6,5396966.0
guy,Guyana,1970,3.6,5.41,702705.0
hnd,Honduras,1970,1.8,7.17,2750715.0
hrv,Croatia,1970,3.3,1.88,4462673.0
hti,Haiti,1970,0.5,5.91,4635124.0
hun,Hungary,1970,7.0,1.98,10315143.0
idn,Indonesia,1970,1.1,5.49,115657495.0
ind,India,1970,0.6,5.62,545864268.0
irl,Ireland,1970,6.2,3.85,2961403.0
irn,Iran,1970,0.8,6.8,29145100.0
irq,Iraq,1970,1.2,7.07,9735611.0
isr,Israel,1970,6.9,3.79,2864778.0
ita,Italy,1970,5.0,2.4,53390236.0
jam,Jamaica,1970,4.6,5.35,1878196.0
jor,Jordan,1970,1.2,8.18,1565163.0
jpn,Japan,1970,8.2,2.04,106712368.0
kaz,Kazakhstan,1970,4.7,3.51,12419057.0
ken,Kenya,1970,0.8,7.94,11368791.0
kgz,Kyrgyz Republic,1970,4.9,5.2,3025142.0
khm,Cambodia,1970,0.6,6.07,6639182.0
kir,Kiribati,1970,2.7,5.71,57510.0
kor,South Korea,1970,4.8,4.46,32542197.0
kwt,Kuwait,1970,1.4,7.03,809114.0
lao,Lao,1970,0.4,6.31,2669702.0
lbn,Lebanon,1970,1.6,5.19,2386114.0
lbr,Liberia,1970,0.3,6.58,1466676.0
lca,St. Lucia,1970,4.5,6.1,103165.0
lka,Sri Lanka,1970,3.4,4.39,12287110.0
lso,Lesotho,1970,2.3,5.7,1019273.0
ltu,Lithuania,1970,4.9,2.4,3135872.0
lux,Luxembourg,1970,5.5,1.97,339332.0
lva,Latvia,1970,6.1,1.96,2357559.0
mar,Morocco,1970,0.3,6.68,15129449.0
mda,Moldova,1970,5.6,2.57,3643517.0
mdg,Madagascar,1970,0.8,7.1,6672003.0
mdv,Maldives,1970,2.0,7.39,123219.0
mex,Mexico,1970,2.5,6.53,50814953.0
mhl,Marshall Islands,1970,2.6,8.08,22530.0
mkd,North Macedonia,1970,3.8,3.01,1664208.0
mli,Mali,1970,0.1,7.18,6276472.0
mmr,Myanmar,1970,1.3,5.68,27193016.0
mne,Montenegro,1970,4.8,2.69,529671.0
mng,Mongolia,1970,3.7,7.31,1295272.0
moz,Mozambique,1970,0.2,6.7,8250506.0
mrt,Mauritania,1970,0.2,6.68,1099806.0
mus,Mauritius,1970,1.4,3.82,827696.0
mwi,Malawi,1970,0.6,7.3,4633944.0
mys,Malaysia,1970,1.6,5.04,10178802.0
nam,Namibia,1970,1.5,6.52,757868.0
ner,Niger,1970,0.1,7.51,4650275.0
nga,Nigeria,1970,0.5,6.47,55893838.0
nic,Nicaragua,1970,1.9,6.77,2423065.0
nld,Netherlands,1970,6.2,2.57,13052078.0
nor,Norway,1970,6.1,2.51,3875345.0
npl,Nepal,1970,0.1,5.87,12436190.0
nzl,New Zealand,1970,6.4,3.17,2822177.0
omn,Oman,1970,0.5,7.52,662680.0
pak,Pakistan,1970,0.3,6.8,60166719.0
pan,Panama,1970,4.7,5.18,1513070.0
per,Peru,1970,2.9,6.32,13501237.0
phl,Philippines,1970,4.4,6.22,37622204.0
png,Papua New Guinea,1970,0.5,6.25,2505628.0
pol,Poland,1970,7.3,2.25,32542633.0
prt,Portugal,1970,2.2,3.01,8669523.0
pry,Paraguay,1970,2.9,5.72,2388028.0
pse,Palestine,1970,1.4,7.65,1116280.0
qat,Qatar,1970,1.5,6.23,116350.0
rou,Romania,1970,5.7,2.81,20011625.0
rus,Russia,1970,5.7,2.01,130367189.0
rwa,Rwanda,1970,0.4,8.15,3980669.0
sau,Saudi Arabia,1970,0.5,7.58,3562470.0
sdn,Sudan,1970,0.3,6.99,11695771.0
sen,Senegal,1970,0.3,7.26,4466328.0
sgp,Singapore,1970,2.2,3.07,2091558.0
slb,Solomon Islands,1970,0.9,6.98,176579.0
sle,Sierra Leone,1970,0.2,6.41,2712286.0
slv,El Salvador,1970,2.4,6.18,3668796.0
som,Somalia,1970,0.1,7.18,3738448.0
srb,Serbia,1970,4.2,1.97,7324425.0
stp,Sao Tome and Principe,1970,0.7,6.47,77626.0
sur,Suriname,1970,2.9,5.53,379442.0
svk,Slovak Republic,1970,4.5,2.42,4525871.0
svn,Slovenia,1970,4.0,2.11,1739861.0
swe,Sweden,1970,7.0,1.92,8042780.0
swz,Eswatini,1970,1.3,6.75,441216.0
syc,Seychelles,1970,3.6,5.31,54252.0
syr,Syria,1970,0.6,7.62,6380609.0
tcd,Chad,1970,0.1,6.53,3727828.0
tgo,Togo,1970,0.3,7.04,2244773.0
tha,Thailand,1970,2.8,5.45,35954408.0
tjk,Tajikistan,1970,4.2,6.91,2936779.0
tkm,Turkmenistan,1970,4.6,6.4,2195616.0
tls,Timor-Leste,1970,0.2,5.66,553069.0
ton,Tonga,1970,4.8,6.07,84401.0
tto,Trinidad and Tobago,1970,4.7,3.71,991471.0
tun,Tunisia,1970,0.5,6.43,5131396.0
tur,Turkey,1970,1.2,5.78,36638465.0
tza,Tanzania,1970,0.6,7.0,13492677.0
